Entity,Renewables(TWh_growth_equivalent)
Australia,22.8466796875
Bangladesh,-0.16782808303833008
China,435.3291015625
India,30.609375
Indonesia,30.611831665039062
Japan,39.08905029296875
Malaysia,4.9156646728515625
New Zealand,-3.5421829223632812
Philippines,-1.2250137329101562
South Korea,1.0764083862304688
Sri Lanka,1.1904010772705078
Thailand,-7.5514678955078125
Vietnam,32.914306640625
